action_study_technology;Study Influence;Étudier une technologie;Technologie studieren;;Estudiar tecnología;;;;;;;;;x
action_study_technology_desc;Send you [GetSpymasterName] to study the webs of influence in a county, increasing the chance of spreading influence in your capital.;Demandez à votre Maître-Espion d’étudier les prouesses technologiques d’un comté afin d’augmenter vos chances d’en faire profiter votre capitale.;Entsendet Euren Agentenführer, um die technologischen Wunder in einer Grafschaft zu studieren. Dies erhöht die Chance, dass sie sich bis zu Eurer Hauptstadt ausbreiten.;;Envía a tu jefe de espías para estudiar los portentos tecnológicos de un condado, lo que aumenta la probabilidad de llevarlas a tu capital.;;;;;;;;;x
action_advance_eco_tech;Influence mortal society;Rechercher des technologies économiques;Wirtschaftstechnologie erforschen;;Investigación Económica;;;;;;;;;x
action_advance_eco_tech_desc;Have your [GetTreasurerName] influence mortal society in a county.;Demandez à votre Intendant de rechercher des technologies économiques dans un comté.;Lasst Euren Verwalter die Wirtschaftsfortschritte in einer Grafschaft erforschen.;;Haz que tu mayordomo investigue los avances económicos de un condado.;;;;;;;;;x
action_advance_mil_tech;Influence the Jyhad;Rechercher des technologies militaires;Militärtechnologie erforschen;;Investigación Militar;;;;;;;;;x
action_advance_mil_tech_desc;Have your [GetMarshalName] influence the Jyhad by negotiating with the criminal underworld, smugglers, darekned mortals and supernaturals.;Demandez à votre Maréchal de rechercher des technologies militaires dans une province.;Lasst Euren Marschall Militärfortschritte in einer Provinz erforschen.;;Haz que tu mariscal estudie los avances militares en una provincia.;;;;;;;;;x
action_advance_cul_tech;Influence supernatural society;Rechercher des technologies culturelles;Kulturtechnologie erforschen;;Investigación Cultural;;;;;;;;;x
action_advance_cul_tech_desc;Send your [GetLordSpiritualName] to influence the society of supernaturals in a province.;Envoyez le Chapelain de votre Cour propager le savoir dans une province.;Entsendet Euren Hof-Geistlichen, um an der Verbesserung Eurer Kultur in einer Provinz zu arbeiten.;;Enviar al capellán de tu corte a trabajar mejorando la Cultura en una provincia.;;;;;;;;;x
TECHNOLOGY_MENU;Influence;Technologie;Technologie;;Tecnología;Tecnologia;;;;;;;;x
LEDGER_TECHNOLOGY;Influence;Technologie;Technologie;Technologia;Tecnología;Tecnologia;Technológia;Technologie;;;;;;x
TECH_NAVAL;Smuggling;Construction navale;Schiffsbau;;Construcción Naval;;;;;;;;;x
TECH_NAVAL_DESC;More influence over smugglers, the criminals who specialize in clandestine transport of goods (and bodies);De meilleures techniques de construction navale nous permettront de réunir une plus grosse flotte;Bessere Schiffsbautechniken erlauben den Bau einer größeren Flotte;;Mejores técnicas de construcción naval nos permiten tener una flota más grande;;;;;;;;;x
TECH_TRADE_PRACTICES;Criminal Underworld;Pratiques commerciales;Handels-Praktiken;;Prácticas Comerciales;;;;;;;;;x
TECH_TRADE_PRACTICES_DESC;Influence over the various criminal denziens: thieves, fences, street gangs, bandits, etc...;De meilleures pratiques commerciales engendrent plus d’argent pour les républiques ainsi que pour les cités qui participent à l’échange.;Bessere Handels-Praktiken geben Republiken und Städten mehr Geld im Handel;;Mejores prácticas comerciales conducen a más dinero para las repúblicas así como las ciudades que participan en el comercio;;;;;;;;;x
TECH_CONSTRUCTION;Masons;;;;;;;;;;;;;x
TECH_CONSTRUCTION_DESC;More influence over the guilds of masons, to better construct and secure havens;De meilleures techniques de construction diminuent le coût des bâtiments et accélèrent leur construction ;Bessere Bautechniken machen die Konstruktion billiger und schneller;;Mejores técnicas de construcción hacen la construcción más barata y más rápida.;;;;;;;;;x
TECH_CULTURE_FLEX;Elysium;Tolérance;Toleranz;;Tolerancia;;;;;;;;;x
TECH_CULTURE_FLEX_DESC;Acceptance of others make it easier to rule over different cultures and religions;L’acceptation d’autrui facilite le règne sur différentes cultures et religions.;Die Akzeptanz Andersdenkender macht es leichter, über verschiedene Kulturen und Religionen zu herrschen.;;La aceptación de los demás hace más fácil gobernar sobre diferentes culturas y religiones;;;;;;;;;x
TECH_INVEST;Invest in §Y$TECHNAME$§!\nCost: $COST$/§Y$MAX$§!;Investir dans §Y$TECHNAME$§!\nCoût : $COST$/§Y$MAX$§!;Investiert in §Y$TECHNAME$§!\nKosten: $COST$/§Y$MAX$§!;;Invertir en §Y$TECHNAME$§!\nCuesta: $COST$/§Y$MAX$§!;;;;;;;;;x
TECH_INVEST_DESC;By spending §Y$POINTS$§! $POINTTYPE$ you can increase this influence to level §Y$NEXTLEVEL$§!;Pour §Y$POINTS$§! $POINTTYPE$, vous pouvez faire passer cette technologie au niveau §Y$NEXTLEVEL$§!;Durch die Ausgabe von §Y$POINTS$§! $POINTTYPE$ könnt Ihr diese Technologie auf Stufe §Y$NEXTLEVEL$§! aufwerten;;Gastando §Y$POINTS$§! $POINTTYPE$ puedes incrementar esta tecnología al nivel §Y$NEXTLEVEL$§!;;;;;;;;;x
POINTTYPE_MIL;Jyhad Influence Points;Points de technologie militaire;Militär-Technologiepunkte;;Puntos de Tecnología Militar;;;;;;;;;x
POINTTYPE_ECO;Mortal Influence Points;Points de technologie économique;Wirtschafts-Technologiepunkte;;Puntos de Tecnología Económica;;;;;;;;;x
POINTTYPE_CUL;Supernatural Society Influence Points;Points de technologie culturelle;Kultur-Technologiepunkte;;Puntos de Tecnología Cultural;;;;;;;;;x
TECH_FROM_ATTRIBUTES;§Y$GROWTH$§! / Month From Ruler Attributes;§Y$GROWTH$§! / mois provenant des attributs du royaume;§Y$GROWTH$§! / Monat von Reichs-Eigenschaften;;§Y$GROWTH$§! / Mes de atributos del Reino;;;;;;;;;x
TECH_DESC_CAPITAL;Influence from your Capital province of $PROV$;Avancées dans votre province capitale de $PROV$;Fortschritte in Eurer Hauptstadts-Provinz in $PROV$;;Avances en tu Capital provincia de $PROV$;;;;;;;;;x
TECH_GROUP_MILITARY;Jyhad;Progrès militaires;Militärfortschritte;;Avances militares;;;;;;;;;x
TECH_GROUP_ECONOMY;Mortal Influence;Progrès économiques;Wirtschaftsfortschritte;;Avances económicos;;;;;;;;;x
TECH_GROUP_CULTURE;Supernatural Society;Progrès culturels;Kulturelle Fortschritte;;Avances culturales;;;;;;;;;x
TECH_INC_FOCUS;And an additional §Y$CHANCE$§W% increase for §Y$FOCUS$§W as it is set as the focus for this group;Plus §Y$CHANCE$§W% de chance d’amélioration pour §Y$FOCUS$§W, s’agissant de la priorité de ce groupe;Und eine zusätzliche §Y$CHANCE$§W%-Erhöhung auf §Y$FOCUS$§W, da es als Fokus für diese Gruppe eingestellt ist;;Y un §Y$CHANCE$§W% de probabilidad adicional para §Y$FOCUS$§W, ya que es el área en que se centra este grupo.;;;;;;;;;x
TECH_BOWS;Bows;Arcs;Bögen;;Arcos;;;;;;;;;x
TECH_BOWS_DESC;Improved bows and Crossbows;Arcs et arbalètes améliorés;Verbesserte Bögen und Armbrüste;;Arcos y ballestas mejorados;;;;;;;;;x
TECH_LIGHT_ARMOUR;Light Armour;Armure légère;Leichte Rüstung;;Armadura ligera;;;;;;;;;x
TECH_LIGHT_ARMOUR_DESC;Improved Armour for skirmish troops;Armure améliorée pour les troupes d’escarmouches;Verbesserte Rüstung für Scharmützler;;Armadura mejorada para operaciones de escaramuza;;;;;;;;;x
TECH_HEAVY_ARMOUR;Heavy Armour;Armure lourde;Schwere Rüstung;;Armadura pesada;;;;;;;;;x
TECH_HEAVY_ARMOUR_DESC;Improved Armour for heavy infantry and knights;Armure améliorée pour l’infanterie lourde et les chevaliers;Verbesserte Rüstung für schwere Infanterie und Ritter;;Armadura mejorada para infantería pesada y caballeros;;;;;;;;;x
TECH_INFANTRY_MELEE_WEAPONS;Infantry Melee Weapons;Armes de mêlée de l’infanterie;Infanterie-Nahkampfwaffen;;Armas de combate cercano para infantería;;;;;;;;;x
TECH_INFANTRY_MELEE_WEAPONS_DESC;Improved armament for light infantry, heavy infantry, and pikemen;Armement amélioré pour l’infanterie, l’infanterie lourde et les piquiers;Verbesserte Bewaffnung für leichte Infanterie, schwere Infanterie und Spießträger;;Armamento mejorado para infantería ligera, infantería pesada y lanceros;;;;;;;;;x
TECH_CAVALRY_MELEE_WEAPONS;Cavalry Melee Weapons;Armes de mêlée de l’infanterie;Kavallerie-Nahkampfwaffen;;Armas de combate cercano para caballería;;;;;;;;;x
TECH_CAVALRY_MELEE_WEAPONS_DESC;Improved armament for light and heavy cavalry;Armement amélioré pour la cavalerie légère et lourde;Verbesserte Bewaffnug für leichte und schwere Kavallerie;;Armamento mejorado para caballería ligera y pesada;;;;;;;;;x
TECH_SIEGE_EQUIPMENT;Haven Destruction;Matériel de siège;Belagerungsausrüstung;;Equipamiento de asedio;;;;;;;;;x
TECH_SIEGE_EQUIPMENT_DESC;Tactical knowledge of destroying supernatural havens.;Moteurs de siège plus imposants et plus performants.;Größere und bessere Belagerungsmaschinen.;;Máquinas de asedio más grandes y mejores;;;;;;;;;x
TECH_CASTLES;Military Fortifications;Fortifications militaires;Befestigungsanlagen;;Fuertes militares;;;;;;;;;x
TECH_CASTLES_DESC;Bigger and better walls for Castle holdings;Fortifications renforcées pour les fiefs du château;Größere und bessere Mauern für Burgen;;Muros para castillos más grandes y mejores;;;;;;;;;x
TECH_TACTICS;Tactics;Tactiques;Taktiken;;Tácticas;;;;;;;;;x
TECH_TACTICS_DESC;Better tactics result in battles won with fewer losses.;De meilleures tactiques permettent de limiter les pertes lors des batailles.;Bessere Taktiken führen zu geringeren Verlusten in der Schlacht.;;Mejorar las tácticas ayuda a ganar batallas con menos bajas.;;;;;;;;;x
TECH_CASTLE_TAXES;Farming;Agriculture;Ackerbau;;Agricultura;;;;;;;;;x
TECH_CASTLE_TAXES_DESC;Improved farming methods result in greater income from Castle holdings;De meilleures méthodes agricoles permettent de d’augmenter les revenus issus des fiefs du château;Verbesserte Ackerbaumethoden führen zu größeren Einkommen aus Burgen;;Los métodos agrícolas mejorados dan más ingresos para los castillos.;;;;;;;;;x
TECH_CITY_TAXES;Trade Practices;Pratiques commerciales;Handelspraktiken;;Prácticas comerciales;;;;;;;;;x
TECH_CITY_TAXES_DESC;Encourage trade to gain more taxes from City holdings;Encouragez le commerce pour percevoir plus d’impôts des fiefs de la cité;Ermuntert Handel, um mehr Steuern aus Stadtbesitztümern einzunehmen;;Favorece el comercio para conseguir más impuestos de las villas.;;;;;;;;;x
TECH_TEMPLE_TAXES;Church Taxes;Impôts religieux;Kirchensteueren;;Impuestos de iglesia;;;;;;;;;x
TECH_TEMPLE_TAXES_DESC;Investigate new ways to wring your dues from the local Clergy;Examines de nouveaux moyens pour percevoir votre dû auprès du clergé local;Erkundet neue Möglichkeiten, Euren Anteil aus den örtlichen Kirchenmännern zu quetschen;;Busca nuevas formas de sonsacar dinero al clero local.;;;;;;;;;x
TECH_CASTLE_CONSTRUCTION;Feudal Influence;Infrastructure du château;Burginfrastruktur;;Infraestructura de castillo;;;;;;;;;x
TECH_CASTLE_CONSTRUCTION_DESC;Influence over mortal noble lords and their castles;Plusieurs terrains d’entraînement et casernes permettent d’améliorer la taille et la qualité des troupes du château.;Verschiedene Übungsplätze und Kasernen für größere und bessere Wehrpflichtigenkontingente aus Burgen.;;Varios terrenos de entrenamiento y barracones para ampliar y mejorar las levas de los castillos.;;;;;;;;;x
TECH_CITY_CONSTRUCTION;Burgher Influence;Infrastructure de la cité;Stadt-Infrastruktur;;Infraestructura de villa;;;;;;;;;x
TECH_CITY_CONSTRUCTION_DESC;Influence over mortal city dwellers;Bâtiments améliorés pour les fiefs de la cité;Verbesserte Gebäude für Stadtbesitztümer;;Mejores edificios para la villa;;;;;;;;;x
TECH_TEMPLE_CONSTRUCTION;Church Influence;Infrastructure de l’Église;Kircheninfrastruktur;;Infraestructura de iglesia;;;;;;;;;x
TECH_TEMPLE_CONSTRUCTION_DESC;Influence over the mortal church.;Bâtiments améliorés pour les fiefs de l’Église;Verbesserte Gebäude für Kirchenbesitztümer;;Mejores edificios para las iglesias;;;;;;;;;x
TECH_FORTIFICATIONS_CONSTRUCTION;Improved Havens;Donjons améliorés;Verbesserte Bergfriede;;Torreones mejorados;;;;;;;;;x
TECH_FORTIFICATIONS_CONSTRUCTION_DESC;Improved haven security and fortifications;Donjons et fortifications améliorés;Verbesserte Bergfriede und Befestigungen;;Mejores torreones y fuertes;;;;;;;;;x
TECH_NOBLE_CUSTOMS;Noble Bloodlines;Coutumes nobles;Sitten der Adligen;;Tradición noble;;;;;;;;;x
TECH_NOBLE_CUSTOMS_DESC;Improved relations with vassal of renowned Supernatural houses;Relations améliorées avec les seigneurs féodaux vassaux;Verbesserte Beziehungen mit feudalen Vasallenfürsten;;Relaciones mejoradas con señores feudales vasallos;;;;;;;;;x
TECH_POPULAR_CUSTOMS;Rabble Connections;Coutumes populaires;Volkssitten;;Tradición popular;;;;;;;;;x
TECH_POPULAR_CUSTOMS_DESC;Improved relations with vassal of questionable and new bloodlines;Relations améliorées avec les bourgeois vassaux;Verbesserte Beziehungen mit Bürgervasallen;;Relaciones mejoradas con burgueses vasallos;;;;;;;;;x
TECH_RELIGIOUS_CUSTOMS;Covenant Influence;Coutumes religieuses;Religiöse Sitten;;Tradición religiosa;;;;;;;;;x
TECH_RELIGIOUS_CUSTOMS_DESC;Improved relations with vassal covenant advocates;Relations améliorées avec les ecclésiastiques vassaux;Verbesserte Beziehungen mit Kirchenvasallen;;Relaciones mejoradas con clérigos vasallos;;;;;;;;;x
TECH_MAJESTY;Renown;Majesté;Majestät;;Majestad;;;;;;;;;x
TECH_MAJESTY_DESC;Our dynasty grows ever more prestigious;Notre dynastie gagne en prestige;Unsere Dynastie wird zusehends prestigeträchtiger;;Nuestra dinastía adquiere cada vez más prestigio.;;;;;;;;;x
TECH_SPIRITUAL_ART;Spiritual Art;Art spirituel;Spirituelle Kunst;;Arte espiritual;;;;;;;;;x
TECH_SPIRITUAL_ART_DESC;Art to glorify the Faith;Art visant à rendre gloire à la foi;Kunst zum Ruhme des Glaubens;;Arte para glorificar la Fe;;;;;;;;;x
#TECH_CULTURE_FLEX;Cultural Flexibility;Souplesse culturelle;Kulturelle Flexibilität;;Tolerancia cultural;;;;;;;;;x
#TECH_CULTURE_FLEX_DESC;Acceptance of those of a different culture;Acceptation des personnes issues d’une culture différente;Akzeptanz von Menschen anderer Kulturen;;Aceptación de aquellos con distinta cultura;;;;;;;;;x
TECH_RELIGION_FLEX;Religious Flexibility;Souplesse religieuse;Religiöse Flexibilität;;Tolerancia religiosa;;;;;;;;;x
TECH_RELIGION_FLEX_DESC;Acceptance of those of a different faith;Acceptation des personnes issues d’une foi différente;Akzeptanz von Menschen anderer Glaubensrichtungen;;Aceptación de aquellos con distinta religión;;;;;;;;;x
TECH_LEGALISM;Legitimacy;Légalisme;Legalismus;;Legalismo;;;;;;;;;x
TECH_LEGALISM_DESC;When a domain has a strong legitimacy, others are more likely to accept new rulers as rightful.;Moyennant des lois clairement codifiées, les gens sont plus enclins à reconnaître la légitimité des nouveaux souverains.;Mit klar umrissenen Gesetzen sehen die Menschen neue Herrscher eher als rechtmäßig an.;;Con un código legal claro, la gente tiende a aceptar mejor a los nuevos soberanos de forma legítima.;;;;;;;;;x
TECH_RECRUITMENT;Recruitment;Organisation militaire;Militärorganisation;;Organización militar;;;;;;;;;x;;
TECH_RECRUITMENT_DESC;Recruitment of criminal and supernatural retinue, negotiating their contracts and managing your reputation.;Amélioration de l'enrôlement et de l'organisation sur le terrain.;Rekrutierungs- und Feldorganisationsverbesserung.;;Mejoras en reclutamiento y organización de campo;;;;;;;;;x;;
